Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,8:00,49.11,0.72,0.0147,276.16,50.27,0.43,0.0086,310.95,284.26,1.71,0.006,283.45,122.99,1.38,0.0112,291.42
August,1,8:30,77.42,0.68,0.0088,284.76,65.49,0.41,0.0063,310.3,407.79,2.37,0.0058,290.39,154.37,2.08,0.0135,308.37
August,1,9:00,111.17,0.58,0.0052,293.73,167.16,0.57,0.0034,315.72,571.91,2.97,0.0052,301.96,266.37,7.43,0.0279,303.83
August,1,9:30,136.65,1.28,0.0094,280.34,255.91,1.77,0.0069,318.58,723.45,13.89,0.0192,326.57,324.96,7.41,0.0228,294.01
August,1,10:00,159.31,0.8,0.005,270.68,343.11,1.78,0.0052,321.13,880.81,14.62,0.0166,321.85,366.6,7.44,0.0203,297.88
August,1,10:30,215.39,1.46,0.0068,283.05,370.34,6.7,0.0181,333.42,991.96,21.82,0.022,334.75,422.3,14.65,0.0347,328.74
August,1,11:00,240.56,0.87,0.0036,301.81,419.04,7.75,0.0185,332.75,1070.01,16.8,0.0157,338.92,473.35,10.27,0.0217,310.25
August,1,11:30,241.63,1.55,0.0064,290.56,493.18,9.42,0.0191,339.78,1088.35,12.95,0.0119,341.8,489.88,6.52,0.0133,312.77
August,1,12:00,265.53,4.51,0.017,299.2,505.46,7.08,0.014,334.32,1091.78,15.5,0.0142,342.09,516.63,4.65,0.009,314.13
August,1,12:30,276.71,3.96,0.0143,306.01,544.41,10.62,0.0195,336.63,1109.26,26.51,0.0239,340.03,528.86,8.57,0.0162,301.97
August,1,13:00,256.96,3.44,0.0134,306.16,602.55,16.57,0.0275,338.27,1109.13,19.96,0.018,338.82,521.17,8.7,0.0167,302.69
August,1,13:30,250.17,1.4,0.0056,304.76,595.6,20.67,0.0347,332.29,1089.52,20.92,0.0192,340.44,528.74,12.06,0.0228,313.07
August,1,14:00,250.4,2.28,0.0091,314.27,606.92,25.79,0.0425,345.54,1087.62,12.83,0.0118,344.23,533.61,11.42,0.0214,306.85
August,1,14:30,256.76,2.41,0.0094,309.57,621.18,21.06,0.0339,349.87,1078.64,11.43,0.0106,348.78,551.31,25.14,0.0456,316.13
August,1,15:00,248.2,1.44,0.0058,298.26,587.69,4.94,0.0084,340.11,1056.59,6.55,0.0062,354.78,523.57,18.48,0.0353,311.76
August,1,15:30,249.13,3.76,0.0151,303.54,572.4,4.41,0.0077,336.16,992.73,13.4,0.0135,353.54,489.88,24.79,0.0506,314.07
August,1,16:00,244.95,1.94,0.0079,319.62,578.31,2.95,0.0051,342.87,954.58,8.4,0.0088,341.54,473.35,12.17,0.0257,310.16
August,1,16:30,227.4,1.16,0.0051,308.74,545.25,3.11,0.0057,342.73,911.6,3.74,0.0041,348.35,423.3,4.53,0.0107,321.02
August,1,17:00,196.35,1.35,0.0069,316.38,555.34,3.39,0.0061,343.73,889.41,2.94,0.0033,348.08,419.31,1.76,0.0042,315.4
August,1,17:30,183.81,1.43,0.0078,326.63,521.59,6.47,0.0124,345.82,850.62,2.55,0.003,349.68,424.58,3.01,0.0071,311.61
August,1,18:00,168.76,1.6,0.0095,329.49,468.44,7.54,0.0161,349.76,804.91,3.94,0.0049,348.23,394.01,1.97,0.005,313.22
August,1,18:30,136.34,2.45,0.018,330.97,414.52,7.17,0.0173,344.72,656.21,2.89,0.0044,351.94,306.67,1.59,0.0052,305.38
August,1,19:00,109.85,0.83,0.0076,327.97,372.43,7.93,0.0213,346.33,621.4,3.29,0.0053,338.74,296.39,1.66,0.0056,301.68
August,1,19:30,72.69,0.69,0.0095,332.23,335.22,3.25,0.0097,330.86,503.12,2.62,0.0052,330.67,267.66,4.1,0.0153,313.45
August,1,20:00,62.05,2.38,0.0383,298.67,273.08,5.33,0.0195,335.14,480.85,3.03,0.0063,337.11,253.24,5.47,0.0216,330.59
August,1,20:30,55.23,4.72,0.0854,292.91,249.93,3.8,0.0152,326.7,441.91,2.34,0.0053,362.16,222.75,3.81,0.0171,308.47
August,1,21:00,47.25,5.05,0.1068,290.96,224.33,5.36,0.0239,325.93,361.53,2.02,0.0056,354.82,191.23,5.11,0.0267,310.29
August,1,21:30,34.14,2.13,0.0625,319.4,190.55,2.61,0.0137,333.25,279.13,0.84,0.003,351.69,148.55,2.7,0.0182,321.41
August,1,22:00,27.08,1.18,0.0436,408.49,139.57,0.81,0.0058,328.35,264.29,2.11,0.008,355.0,140.04,2.93,0.0209,327.11
August,1,22:30,22.65,4.9,0.2164,360.68,116.75,0.6,0.0051,326.93,233.04,1.42,0.0061,334.62,113.42,1.18,0.0104,302.72
August,1,23:00,21.87,3.4,0.1556,363.77,99.22,1.15,0.0116,281.18,156.03,0.7,0.0045,327.5,98.89,0.55,0.0056,308.73
August,1,23:30,9.81,0.31,0.0318,237.21,80.94,1.17,0.0145,290.52,164.2,0.36,0.0022,340.9,86.26,0.51,0.0059,294.58
August,2,0:00,10.34,0.16,0.0153,302.08,59.93,2.05,0.0342,334.15,79.28,1.3,0.0164,310.94,53.11,0.7,0.0131,314.68
August,2,0:30,7.86,0.08,0.01,249.81,40.83,0.74,0.0181,343.95,53.13,1.3,0.0245,312.96,34.76,0.18,0.0053,301.53
August,2,1:00,5.23,0.04,0.0067,387.44,12.81,0.47,0.0367,462.87,52.05,1.84,0.0354,320.12,27.28,0.2,0.0073,309.24
August,2,1:30,5.49,0.05,0.0092,319.59,11.35,1.57,0.1383,370.82,37.73,1.11,0.0293,294.18,15.62,0.46,0.0294,397.99
August,2,2:00,4.0,0.01,0.0033,281.1,9.52,1.68,0.1767,377.55,25.37,0.93,0.0365,374.5,12.05,0.32,0.0262,408.98
August,2,2:30,3.57,0.0,0.0,300.05,8.11,0.32,0.04,356.65,17.98,0.3,0.0166,385.15,10.2,0.22,0.0216,461.57
August,2,3:00,3.27,0.0,0.0,264.67,6.55,0.05,0.0083,402.29,18.0,1.02,0.0565,392.08,3.32,0.19,0.0582,439.66
August,2,3:30,3.37,0.0,0.0,229.47,7.02,0.02,0.0033,373.4,12.72,0.07,0.0057,423.99,3.81,0.29,0.0764,364.29
August,2,4:00,3.0,0.0,0.0,244.25,5.8,0.02,0.0033,329.55,11.64,0.17,0.0143,471.58,2.76,0.2,0.0724,419.97
August,2,4:30,3.43,0.03,0.01,219.35,5.21,0.23,0.045,253.28,11.11,0.18,0.0166,536.57,2.85,0.23,0.0824,424.79
August,2,5:00,3.92,0.04,0.01,248.17,4.49,0.01,0.0033,789.94,13.56,0.18,0.0133,439.34,4.53,0.15,0.0325,367.42
August,2,5:30,6.58,0.16,0.025,328.11,6.86,0.04,0.0053,340.29,12.78,0.21,0.0167,277.26,4.13,0.05,0.0116,359.02
August,2,6:00,6.86,0.15,0.0217,302.7,6.9,0.12,0.0179,330.61,32.17,0.15,0.0047,264.6,12.32,0.3,0.0245,266.36
August,2,6:30,4.66,0.3,0.0642,293.13,9.49,1.55,0.1632,340.22,45.02,0.79,0.0175,275.46,17.28,0.61,0.0351,262.67
August,2,7:00,11.3,0.63,0.0558,306.72,11.16,0.09,0.0079,283.22,73.81,0.41,0.0056,272.12,28.47,0.79,0.0276,303.11
August,2,7:30,19.28,1.15,0.0595,322.53,18.2,0.21,0.0118,304.24,110.44,1.02,0.0092,271.78,44.27,0.73,0.0164,301.01
August,2,8:00,39.18,0.38,0.0097,278.14,31.77,0.06,0.0019,304.12,195.05,0.8,0.0041,285.02,83.98,0.53,0.0063,291.26
August,2,8:30,57.67,0.48,0.0084,268.79,47.0,0.19,0.004,307.67,268.95,1.1,0.0041,298.2,109.0,0.84,0.0077,319.31
August,2,9:00,65.37,0.25,0.0039,282.32,134.66,0.38,0.0028,312.45,350.28,1.23,0.0035,307.34,155.4,1.32,0.0085,313.34
August,2,9:30,77.34,0.69,0.0089,285.1,160.77,0.74,0.0046,319.69,434.6,6.48,0.0149,318.05,188.42,2.28,0.0121,295.47
August,2,10:00,86.37,0.38,0.0044,259.62,208.78,1.21,0.0058,320.75,498.55,6.78,0.0136,315.59,222.67,2.47,0.0111,286.35
August,2,10:30,116.09,0.45,0.0039,264.53,231.12,3.42,0.0148,332.13,560.35,9.92,0.0177,316.3,265.44,8.2,0.0309,310.84
August,2,11:00,121.81,0.55,0.0045,288.07,257.47,3.55,0.0138,333.66,572.13,8.07,0.0141,318.28,297.99,6.53,0.0219,301.57
August,2,11:30,123.91,1.36,0.011,291.57,301.18,4.52,0.015,335.55,609.97,4.76,0.0078,323.35,317.57,4.32,0.0136,302.94
August,2,12:00,142.77,2.56,0.0179,307.04,308.01,2.4,0.0078,328.33,642.84,5.98,0.0093,322.64,329.12,4.08,0.0124,300.79
August,2,12:30,149.18,3.39,0.0227,315.25,347.83,3.37,0.0097,331.12,647.6,10.1,0.0156,326.53,333.06,4.1,0.0123,298.59
August,2,13:00,167.93,2.94,0.0175,319.13,384.9,3.5,0.0091,330.51,658.27,8.89,0.0135,335.38,341.25,3.86,0.0113,304.31
August,2,13:30,170.88,2.41,0.0141,309.62,381.53,5.84,0.0153,326.61,656.26,11.68,0.0178,330.99,354.5,8.08,0.0228,311.9
August,2,14:00,160.89,2.2,0.0137,310.49,426.65,5.67,0.0133,342.97,651.74,7.43,0.0114,333.32,352.85,11.96,0.0339,303.45
August,2,14:30,172.39,5.17,0.03,301.84,423.47,5.34,0.0126,345.6,637.82,7.14,0.0112,330.03,357.02,33.45,0.0937,300.85
August,2,15:00,169.59,4.7,0.0277,291.52,407.09,1.34,0.0033,334.58,616.96,4.69,0.0076,338.3,349.19,26.75,0.0766,305.61
August,2,15:30,175.88,2.6,0.0148,289.64,419.04,2.14,0.0051,332.05,617.74,14.7,0.0238,334.45,333.66,45.58,0.1366,307.93
August,2,16:00,175.35,2.53,0.0144,312.77,437.26,2.01,0.0046,337.25,609.4,6.83,0.0112,332.82,317.85,25.84,0.0813,305.06
August,2,16:30,167.89,2.2,0.0131,327.16,388.34,1.55,0.004,341.97,590.3,2.42,0.0041,338.8,311.45,9.94,0.0319,311.71
August,2,17:00,144.61,2.59,0.0179,333.8,393.14,2.16,0.0055,348.59,574.33,2.13,0.0037,335.44,296.15,2.43,0.0082,307.4
August,2,17:30,133.58,2.04,0.0153,322.33,353.52,2.33,0.0066,341.91,538.03,1.13,0.0021,334.07,285.78,2.4,0.0084,297.34
August,2,18:00,118.36,1.67,0.0141,320.21,329.02,2.53,0.0077,340.69,495.02,1.49,0.003,335.56,267.28,1.36,0.0051,302.51
August,2,18:30,102.85,1.76,0.0171,297.48,303.61,4.04,0.0133,340.15,448.2,2.02,0.0045,336.84,238.16,1.48,0.0062,301.17
August,2,19:00,82.83,1.13,0.0136,289.78,275.95,3.73,0.0135,334.13,405.25,1.78,0.0044,330.46,204.64,1.35,0.0066,301.11
August,2,19:30,66.72,0.99,0.0149,287.8,236.7,1.47,0.0062,327.35,365.21,2.34,0.0064,331.21,193.09,4.71,0.0244,319.16
August,2,20:00,63.16,3.01,0.0477,279.08,204.39,1.29,0.0063,333.51,334.88,2.38,0.0071,322.5,168.72,4.61,0.0273,320.53
August,2,20:30,53.05,2.51,0.0474,282.27,193.65,0.91,0.0047,318.13,308.57,1.73,0.0056,335.97,158.13,2.25,0.0142,303.32
August,2,21:00,52.58,2.92,0.0555,292.5,182.8,1.75,0.0096,319.85,271.42,1.3,0.0048,336.46,138.52,4.52,0.0326,312.76
August,2,21:30,34.85,1.75,0.0502,312.24,170.6,1.88,0.011,322.4,227.36,0.57,0.0025,331.24,113.26,2.71,0.0239,317.05
August,2,22:00,38.0,0.93,0.0246,286.06,131.1,0.63,0.0048,315.19,224.98,0.85,0.0038,326.35,106.14,1.44,0.0136,308.03
August,2,22:30,32.3,5.36,0.1658,311.89,101.86,0.42,0.0041,324.78,195.74,1.82,0.0093,318.5,89.47,1.22,0.0136,292.46
August,2,23:00,28.33,4.91,0.1733,367.42,76.55,0.41,0.0053,275.02,147.17,1.18,0.008,315.36,70.67,0.42,0.0059,302.98
August,2,23:30,15.14,0.61,0.0402,281.31,68.02,0.24,0.0035,289.5,148.23,0.8,0.0054,337.71,61.81,0.67,0.0108,289.81
August,3,0:00,1.84,0.18,0.096,654.26,22.08,0.44,0.0201,383.11,29.42,0.25,0.0086,282.57,16.47,0.23,0.0142,306.45
August,3,0:30,1.18,0.07,0.059,385.36,12.64,0.1,0.0076,368.42,22.44,0.35,0.0158,296.78,14.47,0.08,0.0052,297.32
August,3,1:00,1.04,0.14,0.1382,408.2,5.99,0.17,0.028,421.57,18.27,0.3,0.0162,318.21,9.43,0.04,0.0046,298.36
August,3,1:30,0.78,0.25,0.3171,596.99,4.93,0.21,0.0419,399.28,13.66,0.23,0.0166,321.43,6.19,0.21,0.0346,381.75
August,3,2:00,0.78,0.04,0.0537,1067.94,4.22,0.0,0.001,364.63,8.9,0.46,0.0521,352.85,4.83,0.28,0.0572,398.02
August,3,2:30,0.7,0.0,0.005,708.0,2.34,0.0,0.0,376.74,6.65,0.24,0.036,343.19,3.99,0.38,0.0943,499.22
August,3,3:00,0.63,0.0,0.005,357.5,2.19,0.0,0.0,437.53,6.27,0.21,0.034,326.24,2.33,0.2,0.0865,477.87
August,3,3:30,0.58,0.0,0.005,419.42,1.54,0.0,0.0,497.86,4.94,0.07,0.0135,401.19,2.03,0.17,0.086,348.68
August,3,4:00,0.53,0.0,0.0,301.01,1.66,0.01,0.005,395.35,4.66,0.09,0.02,436.43,2.13,0.17,0.0783,405.54
August,3,4:30,0.67,0.0,0.005,267.75,2.01,0.01,0.0025,309.4,4.38,0.1,0.0221,461.56,2.38,0.33,0.1366,409.24
August,3,5:00,0.77,0.0,0.005,260.2,1.69,0.0,0.0025,666.96,5.16,0.12,0.0225,411.68,2.5,0.1,0.0382,396.24
August,3,5:30,1.15,0.01,0.01,327.12,2.16,0.03,0.0125,328.35,5.05,0.11,0.0226,258.01,2.46,0.03,0.012,381.23
August,3,6:00,1.39,0.12,0.083,312.53,2.7,0.29,0.1067,329.37,12.07,0.02,0.0014,278.17,5.84,0.17,0.029,272.08
August,3,6:30,1.42,0.24,0.1724,311.56,4.46,1.04,0.2342,347.22,19.39,0.19,0.0098,277.37,10.31,0.35,0.0339,265.1
August,3,7:00,3.28,0.16,0.0497,305.63,13.2,0.09,0.0071,296.64,35.14,0.07,0.0019,267.67,15.77,0.42,0.0267,302.85
August,3,7:30,5.29,0.28,0.0522,334.15,17.92,0.39,0.0215,305.78,59.08,0.23,0.0039,265.81,24.18,0.42,0.0174,296.34
August,3,8:00,16.63,0.18,0.011,274.79,45.72,0.26,0.0057,306.18,116.35,0.36,0.0031,282.26,52.38,0.47,0.0089,284.67
August,3,8:30,26.13,0.24,0.0091,297.43,63.26,0.3,0.0047,309.11,189.83,1.06,0.0056,292.34,75.32,0.69,0.0092,317.24
August,3,9:00,38.82,0.08,0.0021,311.44,107.57,0.29,0.0027,310.89,251.25,1.26,0.005,309.32,127.5,1.03,0.0081,313.82
August,3,9:30,52.76,0.34,0.0064,331.44,142.3,0.67,0.0047,318.68,326.54,6.37,0.0195,320.41,144.86,1.75,0.0121,300.81
August,3,10:00,66.28,0.31,0.0047,310.77,175.3,1.3,0.0074,326.72,391.25,5.71,0.0146,325.17,170.06,1.79,0.0105,307.35
August,3,10:30,68.99,0.22,0.0032,319.53,204.16,3.53,0.0173,334.58,437.85,6.22,0.0142,329.67,198.19,5.61,0.0283,320.09
August,3,11:00,72.09,0.14,0.002,326.86,231.48,2.69,0.0116,339.19,459.12,4.55,0.0099,339.59,214.45,4.37,0.0204,319.94
August,3,11:30,74.12,0.64,0.0086,322.63,258.14,3.59,0.0139,344.21,480.0,4.66,0.0097,344.23,228.99,3.3,0.0144,319.89
August,3,12:00,76.52,1.06,0.0138,315.27,259.46,2.39,0.0092,335.04,509.41,4.43,0.0087,343.61,234.52,2.09,0.0089,324.07
August,3,12:30,78.89,1.6,0.0203,314.14,266.94,2.11,0.0079,340.03,514.67,6.54,0.0127,343.04,237.35,2.35,0.0099,319.81
August,3,13:00,78.5,1.19,0.0152,314.95,272.45,2.07,0.0076,339.5,514.79,5.77,0.0112,353.19,241.2,2.63,0.0109,324.58
August,3,13:30,78.77,0.95,0.012,322.95,274.74,3.38,0.0123,337.51,505.5,11.02,0.0218,353.54,244.89,8.25,0.0337,334.61
August,3,14:00,78.65,0.91,0.0116,319.77,294.4,3.71,0.0126,343.06,520.79,10.62,0.0204,355.69,253.53,12.02,0.0474,328.48
August,3,14:30,82.87,2.52,0.0304,315.57,293.91,6.91,0.0235,347.63,502.99,14.03,0.0279,354.24,259.32,30.47,0.1175,330.08
August,3,15:00,82.82,2.43,0.0294,321.19,290.81,1.72,0.0059,334.4,503.98,5.14,0.0102,352.05,261.05,24.54,0.094,330.98
August,3,15:30,85.39,1.74,0.0204,312.49,293.08,3.05,0.0104,334.7,499.21,1.95,0.0039,353.14,257.27,38.95,0.1514,331.62
August,3,16:00,78.98,1.04,0.0132,312.07,296.9,1.63,0.0055,341.45,501.66,0.9,0.0018,351.85,258.89,21.85,0.0844,334.34
August,3,16:30,76.81,0.94,0.0123,306.71,284.39,0.51,0.0018,346.93,481.73,0.77,0.0016,353.39,255.21,8.5,0.0333,338.3
August,3,17:00,71.68,1.26,0.0176,313.02,283.98,1.19,0.0042,341.34,462.43,1.25,0.0027,347.64,244.33,2.05,0.0084,337.56
August,3,17:30,67.38,1.1,0.0163,312.01,267.8,1.21,0.0045,339.84,420.11,1.22,0.0029,348.13,225.22,2.03,0.009,334.9
August,3,18:00,55.3,0.82,0.0148,304.9,235.09,1.58,0.0067,340.82,386.87,1.82,0.0047,351.19,200.69,0.96,0.0048,337.37
August,3,18:30,49.15,0.79,0.016,326.7,227.04,1.54,0.0068,341.93,339.55,1.22,0.0036,352.84,187.44,1.11,0.0059,335.97
August,3,19:00,32.27,0.44,0.0137,321.97,196.03,1.8,0.0092,337.59,289.54,1.07,0.0037,352.65,166.64,0.95,0.0057,331.4
August,3,19:30,26.51,0.44,0.0167,323.08,180.68,1.28,0.0071,339.09,261.35,1.88,0.0072,354.49,146.23,3.36,0.023,338.57
August,3,20:00,19.69,0.64,0.0326,312.24,149.29,1.21,0.0081,339.25,238.24,2.45,0.0103,359.24,132.26,3.24,0.0245,330.8
August,3,20:30,16.82,0.62,0.037,315.85,123.63,0.89,0.0072,324.83,197.28,1.95,0.0099,345.12,118.9,1.69,0.0142,327.56
August,3,21:00,15.14,0.92,0.061,310.42,103.18,0.89,0.0086,318.75,174.59,1.13,0.0065,342.83,95.72,2.33,0.0243,334.02
August,3,21:30,10.92,0.48,0.0438,302.74,94.83,0.63,0.0066,324.46,144.24,0.38,0.0026,337.65,71.88,1.51,0.021,336.66
August,3,22:00,9.23,0.37,0.0406,315.23,77.13,0.27,0.0035,311.45,120.25,0.49,0.0041,331.54,66.89,0.82,0.0123,340.46
August,3,22:30,6.06,1.22,0.2008,294.76,63.21,0.09,0.0015,318.36,94.23,0.68,0.0072,328.01,53.81,0.61,0.0113,330.96
August,3,23:00,5.53,0.53,0.0953,299.27,42.81,0.07,0.0017,309.37,69.6,0.49,0.0071,325.19,43.01,0.17,0.004,344.21
August,3,23:30,2.96,0.05,0.0173,309.54,34.47,0.07,0.0019,298.29,53.83,0.22,0.004,341.38,33.18,0.2,0.0061,339.48
August,4,0:00,6.38,0.08,0.0132,321.92,47.1,0.3,0.0064,335.44,85.74,0.49,0.0057,332.33,51.38,0.42,0.0082,309.31
August,4,0:30,7.03,0.02,0.0035,323.46,28.25,0.19,0.0068,335.49,64.28,0.44,0.0069,335.92,35.57,0.18,0.0052,336.8
August,4,1:00,3.29,0.05,0.0156,409.49,12.5,0.21,0.0165,373.1,45.68,0.28,0.0062,343.15,26.97,0.06,0.0021,373.08
August,4,1:30,2.99,0.06,0.0205,348.22,7.2,0.13,0.0183,373.11,32.85,0.32,0.0096,343.17,26.71,0.69,0.026,388.57
August,4,2:00,2.0,0.03,0.0153,371.93,5.4,0.02,0.0037,363.39,22.39,0.64,0.0285,295.55,18.68,0.44,0.0233,385.45
August,4,2:30,1.86,0.01,0.005,303.21,3.99,0.0,0.0,320.81,22.43,0.56,0.025,268.43,16.23,0.14,0.0088,397.78
August,4,3:00,1.83,0.0,0.0,302.46,3.44,0.0,0.0,486.4,15.84,0.58,0.0368,287.66,3.22,0.02,0.0062,416.18
August,4,3:30,1.84,0.0,0.0,308.18,3.22,0.0,0.0,400.28,14.56,0.27,0.0185,344.4,2.1,0.03,0.0125,339.47
August,4,4:00,1.79,0.0,0.0,268.62,2.99,0.0,0.0,360.1,13.34,0.36,0.027,325.63,1.52,0.01,0.0065,339.36
August,4,4:30,1.81,0.0,0.0,215.01,3.03,0.0,0.0,263.37,14.07,0.35,0.025,333.8,1.86,0.06,0.0314,439.69
August,4,5:00,1.69,0.0,0.0,247.29,3.34,0.0,0.0,672.15,13.86,0.24,0.0173,308.06,2.15,0.03,0.0139,345.17
August,4,5:30,2.27,0.0,0.0,409.5,3.7,0.06,0.015,377.76,19.28,0.36,0.0187,258.74,2.32,0.02,0.0078,362.22
August,4,6:00,2.43,0.0,0.0,299.4,5.39,0.4,0.075,358.85,35.4,0.32,0.0089,295.6,13.82,0.14,0.01,276.74
August,4,6:30,4.73,0.5,0.1054,268.55,9.28,2.94,0.3166,400.13,58.31,1.2,0.0205,264.93,22.69,1.52,0.0668,283.2
August,4,7:00,9.46,0.73,0.0774,284.71,29.75,0.32,0.0107,269.5,103.59,0.57,0.0055,276.46,34.41,0.34,0.0099,268.87
August,4,7:30,15.56,0.84,0.0539,312.15,53.11,1.27,0.024,305.12,163.36,0.96,0.0059,268.85,77.28,0.82,0.0106,287.05
August,4,8:00,47.33,0.57,0.012,280.69,100.18,0.83,0.0083,297.18,286.93,0.77,0.0027,288.82,131.75,1.44,0.0109,294.91
August,4,8:30,91.92,1.26,0.0137,300.46,157.48,1.54,0.0098,303.5,423.76,1.7,0.004,315.28,194.04,1.73,0.0089,291.91
August,4,9:00,121.06,0.94,0.0078,309.91,216.94,1.02,0.0047,305.43,617.63,3.21,0.0052,316.71,277.66,5.22,0.0188,293.97
August,4,9:30,167.08,1.35,0.0081,316.8,289.98,1.83,0.0063,318.74,767.67,11.59,0.0151,325.69,355.85,5.23,0.0147,302.59
August,4,10:00,193.22,0.73,0.0038,315.27,361.4,2.6,0.0072,320.38,911.48,12.03,0.0132,329.55,430.08,7.18,0.0167,304.09
August,4,10:30,218.47,0.83,0.0038,319.09,390.91,11.73,0.03,340.36,986.78,12.73,0.0129,337.26,457.97,10.44,0.0228,311.29
August,4,11:00,235.41,0.78,0.0033,321.85,441.74,4.59,0.0104,338.82,1094.89,10.07,0.0092,342.73,500.95,5.76,0.0115,330.26
August,4,11:30,257.0,1.54,0.006,322.46,454.01,5.63,0.0124,344.63,1141.41,8.9,0.0078,345.1,566.83,6.75,0.0119,326.46
August,4,12:00,262.46,2.23,0.0085,325.0,522.81,4.18,0.008,348.44,1146.78,8.83,0.0077,345.24,572.9,6.82,0.0119,326.43
August,4,12:30,263.27,3.53,0.0134,316.62,542.12,6.51,0.012,349.08,1144.88,12.71,0.0111,347.07,581.39,11.92,0.0205,326.37
August,4,13:00,252.19,2.42,0.0096,323.97,565.02,4.58,0.0081,345.26,1147.21,5.51,0.0048,351.17,584.01,11.86,0.0203,329.74
August,4,13:30,255.17,1.51,0.0059,331.12,557.11,8.91,0.016,349.82,1150.73,13.12,0.0114,351.2,578.96,29.47,0.0509,334.96
August,4,14:00,262.16,2.52,0.0096,328.83,581.78,3.9,0.0067,345.21,1172.45,9.85,0.0084,355.15,596.76,12.29,0.0206,334.0
August,4,14:30,255.47,2.78,0.0109,333.2,591.91,4.74,0.008,351.89,1167.36,9.57,0.0082,357.89,595.96,10.67,0.0179,330.81
August,4,15:00,256.95,2.95,0.0115,326.47,591.17,2.13,0.0036,345.82,1153.89,5.19,0.0045,358.98,593.51,4.1,0.0069,330.42
August,4,15:30,259.23,2.49,0.0096,327.46,588.48,1.94,0.0033,345.23,1154.35,3.35,0.0029,356.71,585.19,4.1,0.007,326.31
August,4,16:00,259.09,1.97,0.0076,331.3,599.7,1.5,0.0025,349.73,1132.67,3.85,0.0034,358.39,597.99,2.99,0.005,327.51
August,4,16:30,254.4,1.3,0.0051,338.66,562.7,1.46,0.0026,343.99,1083.88,3.36,0.0031,360.86,576.65,2.94,0.0051,333.14
August,4,17:00,219.01,1.25,0.0057,327.86,533.53,2.56,0.0048,351.26,1030.03,4.12,0.004,360.2,545.29,1.74,0.0032,333.7
August,4,17:30,184.07,1.25,0.0068,336.11,512.24,2.97,0.0058,355.77,937.61,5.25,0.0056,358.71,507.43,1.83,0.0036,340.92
